path,slide_mpp,magnification
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_10.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_11.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_12.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_13.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_14.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_15.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_16.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_1.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_2.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_3.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_4.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_5.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_6.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_7.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_8.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/consep_9.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_10.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_14.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_17.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_18.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_1.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_27.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_28.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_30.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_39.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_40.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_42.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_44.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_4.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_50.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_54.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_55.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_58.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/crag_5.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/dpath_10.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/dpath_11.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/dpath_12.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/dpath_14.tiff,0.25,40
/home/jovyan/cellvit-data/Lizard-CellViT/fold_3/tiff_resized/dpath_1.tiff,0.25,40
